,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AVGO,BLK,EPD,MSFT,O,AAPL,AVGO,BLK,EPD,MSFT,O,AAPL,AVGO,BLK,EPD,MSFT,O,AAPL,AVGO,BLK,EPD,MSFT,O,AAPL,AVGO,BLK,EPD,MSFT,O,AAPL,AVGO,BLK,EPD,MSFT,O
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,6.48753547668457,13.648722648620605,166.54197692871094,6.972989559173584,23.52256202697754,13.37935733795166,7.643214225769043,18.860000610351562,238.5800018310547,16.329999923706055,30.950000762939453,25.29069709777832,7.660714149475098,18.899999618530273,239.60000610351562,16.350000381469727,31.100000381469727,25.678295135498047,7.585000038146973,18.010000228881836,233.52000427246094,15.829999923706055,30.59000015258789,25.155038833618164,7.622499942779541,18.299999237060547,236.0500030517578,15.829999923706055,30.6200008392334,25.445735931396484,493729600,538700,238700,2422000,38409100,904961
2010-01-05,6.498748779296875,13.750039100646973,167.26097106933594,7.0498504638671875,23.530166625976562,13.604909896850586,7.656428813934326,19.0,239.61000061035156,16.510000228881836,30.959999084472656,25.71705436706543,7.699643135070801,19.239999771118164,239.6699981689453,16.530000686645508,31.100000381469727,25.71705436706543,7.6160712242126465,18.100000381469727,236.75999450683594,16.329999923706055,30.639999389648438,25.203487396240234,7.664286136627197,18.950000762939453,239.0500030517578,16.329999923706055,30.850000381469727,25.58139419555664,601904800,301100,198800,2395400,49749600,685248
2010-01-06,6.395378112792969,13.85859203338623,163.81260681152344,7.0626606941223145,23.385770797729492,13.594653129577637,7.534643173217773,19.149999618530273,234.6699981689453,16.540000915527344,30.770000457763672,25.697673797607422,7.68678617477417,19.299999237060547,238.64999389648438,16.700000762939453,31.079999923706055,25.784883499145508,7.526785850524902,18.59000015258789,234.05999755859375,16.53499984741211,30.520000457763672,25.445735931396484,7.656428813934326,18.950000762939453,238.50999450683594,16.604999542236328,30.8799991607666,25.784883499145508,552160000,533100,278500,2280800,58182400,1002588
2010-01-07,6.383555889129639,13.771744728088379,165.61355590820312,6.885453224182129,23.142560958862305,13.881730079650879,7.520713806152344,19.030000686645508,237.25,16.125,30.450000762939453,26.240310668945312,7.5714287757873535,19.170000076293945,237.6999969482422,16.184999465942383,30.700000762939453,26.30813980102539,7.466071128845215,18.649999618530273,234.0,16.065000534057617,30.190000534057617,25.53294563293457,7.5625,19.040000915527344,234.66000366210938,16.18000030517578,30.6299991607666,25.765504837036133,477131200,271800,218300,12359400,50559700,1258318
2010-01-08,6.425994396209717,13.873061180114746,166.7793426513672,6.921751976013184,23.30215835571289,14.071401596069336,7.570713996887207,19.170000076293945,238.9199981689453,16.209999084472656,30.65999984741211,26.59883689880371,7.5714287757873535,19.299999237060547,239.41000366210938,16.209999084472656,30.8799991607666,26.647287368774414,7.466429233551025,18.850000381469727,236.75,16.09000015258789,30.239999771118164,26.12403106689453,7.510714054107666,18.899999618530273,237.4600067138672,16.100000381469727,30.280000686645508,26.153100967407227,447610800,289900,224400,4272200,51197400,814970
2010-01-11,6.3693084716796875,13.959907531738281,169.49473571777344,6.921751976013184,23.005756378173828,13.963744163513184,7.503929138183594,19.290000915527344,242.80999755859375,16.209999084472656,30.270000457763672,26.395349502563477,7.607142925262451,19.549999237060547,243.8000030517578,16.25,30.760000228881836,26.695735931396484,7.444643020629883,19.030000686645508,239.9499969482422,16.19499969482422,30.1200008392334,26.35658836364746,7.599999904632568,19.200000762939453,239.9499969482422,16.25,30.709999084472656,26.67635726928711,462229600,512700,207900,3332800,68754700,725496
2010-01-12,6.296857833862305,13.750039100646973,166.4652099609375,6.921751976013184,22.853755950927734,14.015008926391602,7.4185709953308105,19.0,238.47000122070312,16.209999084472656,30.06999969482422,26.49224853515625,7.491786003112793,19.139999389648438,243.19000244140625,16.25,30.399999618530273,26.531007766723633,7.372142791748047,18.739999771118164,238.47000122070312,16.165000915527344,29.90999984741211,26.25,7.471070766448975,19.139999389648438,241.24000549316406,16.200000762939453,30.149999618530273,26.30813980102539,594459600,916700,208100,3363000,65912100,637879
2010-01-13,6.385678768157959,13.33029842376709,167.12831115722656,6.917479515075684,23.06655502319336,14.173921585083008,7.523213863372803,18.420000076293945,239.4199981689453,16.200000762939453,30.350000381469727,26.79263687133789,7.533214092254639,18.959999084472656,239.9499969482422,16.25,30.520000457763672,26.860464096069336,7.289286136627197,18.25,234.22000122070312,15.989999771118164,30.010000228881836,26.405038833618164,7.423929214477539,18.959999084472656,234.22000122070312,16.2450008392334,30.260000228881836,26.763565063476562,605892000,943900,203400,2487800,51863500,757488
2010-01-14,6.348696231842041,13.33753490447998,166.06727600097656,6.874779224395752,23.530166625976562,14.117534637451172,7.479642868041992,18.43000030517578,237.89999389648438,16.100000381469727,30.959999084472656,26.686046600341797,7.5164289474487305,18.8700008392334,240.2899932861328,16.239999771118164,31.100000381469727,26.879844665527344,7.465000152587891,18.149999618530273,237.0,16.084999084472656,30.260000228881836,26.569766998291016,7.503929138183594,18.479999542236328,239.1699981689453,16.21500015258789,30.309999465942383,26.67635726928711,432894000,1065400,163900,2566400,63228100,698458
2010-01-15,6.242595195770264,13.200032234191895,166.199951171875,6.879048824310303,23.454166412353516,14.091893196105957,7.354642868041992,18.239999771118164,238.08999633789062,16.110000610351562,30.860000610351562,26.637596130371094,7.557143211364746,18.559999465942383,238.6999969482422,16.170000076293945,31.239999771118164,26.889535903930664,7.352499961853027,18.149999618530273,236.16000366210938,16.0,30.709999084472656,26.61821746826172,7.533214092254639,18.559999465942383,237.85000610351562,16.15999984741211,31.079999923706055,26.821704864501953,594067600,158700,197000,2542600,79913200,723226
2010-01-19,6.5187578201293945,12.888849258422852,167.54014587402344,6.958046913146973,23.636566162109375,14.32770824432373,7.679999828338623,17.809999465942383,240.00999450683594,16.295000076293945,31.100000381469727,27.083332061767578,7.685357093811035,18.149999618530273,240.86000061035156,16.31999969482422,31.239999771118164,27.228681564331055,7.401429176330566,17.299999237060547,234.22999572753906,16.165000915527344,30.68000030517578,26.647287368774414,7.440357208251953,17.899999618530273,237.69000244140625,16.225000381469727,30.75,26.647287368774414,730007600,381300,187600,2937600,46575700,1042630
2010-01-20,6.418417453765869,12.997403144836426,166.318603515625,6.979396343231201,23.248966217041016,14.112404823303223,7.56178617477417,17.959999084472656,238.25999450683594,16.344999313354492,30.59000015258789,26.67635726928711,7.698214054107666,18.010000228881836,239.38999938964844,16.350000381469727,30.940000534057617,27.13178253173828,7.482142925262451,17.440000534057617,235.3300018310547,16.190000534057617,30.309999465942383,26.6569766998291,7.675356864929199,17.709999084472656,239.0,16.264999389648438,30.809999465942383,26.947673797607422,612152800,193800,203000,2555400,54849500,600314
2010-01-21,6.307467460632324,13.019118309020996,160.72019958496094,6.898265838623047,22.80814552307129,13.799713134765625,7.431070804595947,17.989999771118164,230.24000549316406,16.155000686645508,30.010000228881836,26.08527183532715,7.618214130401611,18.489999771118164,240.02000427246094,16.424999237060547,30.719999313354492,26.986434936523438,7.400356769561768,17.790000915527344,229.8800048828125,16.045000076293945,30.0,26.08527183532715,7.574285984039307,17.8700008392334,240.02000427246094,16.3700008392334,30.610000610351562,26.744186401367188,608154400,338600,354700,2634200,73086700,1048925
2010-01-22,5.994626045227051,12.707930564880371,157.06239318847656,6.84915828704834,22.010129928588867,13.46651554107666,7.0625,17.559999465942383,225.0,16.040000915527344,28.959999084472656,25.455425262451172,7.410714149475098,18.059999465942383,235.67999267578125,16.299999237060547,30.200000762939453,26.889535903930664,7.041429042816162,17.3799991607666,222.61000061035156,15.989999771118164,28.84000015258789,25.455425262451172,7.385000228881836,17.8799991607666,229.49000549316406,16.184999465942383,30.0,26.25,881767600,923500,282600,2663000,102004600,1471426
2010-01-25,6.15589714050293,12.773058891296387,158.08151245117188,6.919615745544434,22.283737182617188,13.763834953308105,7.252500057220459,17.649999618530273,226.4600067138672,16.204999923706055,29.31999969482422,26.01744270324707,7.310713768005371,17.799999237060547,228.2899932861328,16.235000610351562,29.65999984741211,26.153100967407227,7.1496429443359375,17.459999084472656,223.86000061035156,16.084999084472656,29.100000381469727,25.436046600341797,7.232500076293945,17.670000076293945,225.44000244140625,16.110000610351562,29.239999771118164,25.794574737548828,1065699600,261400,195600,2511400,63373000,787210
2010-01-26,6.242898464202881,12.852663040161133,156.8599090576172,6.932426452636719,22.420541763305664,13.979119300842285,7.355000019073486,17.760000228881836,224.7100067138672,16.235000610351562,29.5,26.424419403076172,7.632500171661377,18.0,228.88999938964844,16.30500030517578,29.850000381469727,26.695735931396484,7.235000133514404,16.84000015258789,223.5,16.200000762939453,29.09000015258789,25.90116310119629,7.3553571701049805,17.030000686645508,224.5500030517578,16.239999771118164,29.200000762939453,26.046512603759766,1867110000,765400,203100,2653200,66639900,710635
